metric,estimate,CI
No. of missed opportunities per patient,n total patients [AZ = 0] = 17019,
 >=1,"9,406 (55.3%)","9,115-9,670 (53.6-56.8%)"
 >=2,"5,608 (33.0%)","5,294-5,909 (31.1-34.7%)"
 >=3,"3,386 (19.9%)","3,112-3,660 (18.3-21.5%)"
 >=4,"2,088 (12.3%)","1,866-2,304 (11.0-13.5%)"
 >=5,"1,338 (7.9%)","1,169-1,503 (6.9-8.8%)"
 mean_n_miss,2.72,2.58-2.82
 median_n_miss,2,2-2
Duration of Delayed Visits ,,
 >= 1 Day,"9,406 (55.3%)","9,115-9,670 (53.6-56.8%)"
 >= 2 Days,"8,977 (52.7%)","8,682-9,244 (51.0-54.3%)"
 >= 3 Days,"8,771 (51.5%)","8,472-9,048 (49.8-53.2%)"
 >= 4 Days,"8,560 (50.3%)","8,264-8,841 (48.6-51.9%)"
 >= 5 Days,"8,345 (49.0%)","8,048-8,621 (47.3-50.7%)"
 >= 6 Days,"8,137 (47.8%)","7,832-8,419 (46.0-49.5%)"
 >= 7 Days,"7,900 (46.4%)","7,598-8,177 (44.6-48.0%)"
 >= 10 Days,"7,131 (41.9%)","6,827-7,401 (40.1-43.5%)"
 >= 14 Days,"6,400 (37.6%)","6,088-6,675 (35.8-39.2%)"
 >= 17 Days,"5,748 (33.8%)","5,421-6,030 (31.9-35.4%)"
 >= 21 Days,"5,195 (30.5%)","4,871-5,486 (28.6-32.2%)"
 >= 30 Days,"3,814 (22.4%)","3,504-4,125 (20.6-24.2%)"
 >= 45 Days,"2,278 (13.4%)","1,988-2,596 (11.7-15.3%)"
 >= 60 Days,"1,261 (7.4%)","1,030-1,512 (6.1-8.9%)"
 >= 90 Days,92 (0.5%),48-138 (0.3-0.8%)
 mean_dur,29.21,27.72-30.73
 median_dur,23.35,22.00-25.00
